Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Autonomic Management Framework for Cloud-Native Applications","Journal of Grid Computing","","18","4","10.1007/s10723-020-09532-0","Joanna KosińskaKrzysztof Zieliński","2020","http://link.springer.com/article/10.1007/s10723-020-09532-0","Article"
"Modelling 5G Cloud-Native Applications by Exploiting the Service Mesh Paradigm","Information Systems","","","","10.1007/978-3-030-44322-1_12","Ilias TsoumasChrysostomos SymvoulidisDimosthenis KyriazisPanagiotis GouvasAnastasios ZafeiropoulosJavier MelianJanez Sterle","2020","http://link.springer.com/chapter/10.1007/978-3-030-44322-1_12","Chapter"
"Systematic Cloud Migration","","","","","10.1007/978-1-4842-7252-7","Taras Gleb","2021","http://link.springer.com/book/10.1007/978-1-4842-7252-7","Book"
"Cloud-Native Databases: An Application Perspective","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-79090-9_7","Josef SpillnerGiovanni ToffettiManuel Ramírez López","2018","http://link.springer.com/chapter/10.1007/978-3-319-79090-9_7","Chapter"
"Cloud Native Integration with Apache Camel","","","","","10.1007/978-1-4842-7211-4","Guilherme Camposo","2021","http://link.springer.com/book/10.1007/978-1-4842-7211-4","Book"
"Dependable Computing - EDCC 2021 Workshops","Communications in Computer and Information Science","","","","10.1007/978-3-030-86507-8","Rasmus AdlerDr. Amel BennaceurSimon BurtonAmleto Di SalleNicola NostroRasmus Løvenstein OlsenSelma SaidiPhilipp SchleissDaniel SchneiderHans-Peter Schwefel","2021","http://link.springer.com/book/10.1007/978-3-030-86507-8","Book"
"Investigation of Impacts on Network Performance in the Advance of a Microservice Design","Cloud Computing and Services Science","","","","10.1007/978-3-319-62594-2_10","Nane KratzkePeter-Christian Quint","2017","http://link.springer.com/chapter/10.1007/978-3-319-62594-2_10","Chapter"
"A Cloud-Native Serverless Approach for Implementation of Batch Extract-Load Processes in Data Lakes","Data Analytics and Management in Data Intensive Domains","","","","10.1007/978-3-030-81200-3_3","Anton BryzgalovSergey Stupnikov","2021","http://link.springer.com/chapter/10.1007/978-3-030-81200-3_3","Chapter"
"Advances in Knowledge Discovery and Data Mining","Lecture Notes in Computer Science","","","","10.1007/978-3-030-75762-5","Prof. Kamal KarlapalemHong ChengNaren RamakrishnanR. K. AgrawalP. Krishna ReddyDr. Jaideep SrivastavaAssist. Prof. Tanmoy Chakraborty","2021","http://link.springer.com/book/10.1007/978-3-030-75762-5","Book"
"Mathematical Modeling and Supercomputer Technologies","Communications in Computer and Information Science","","","","10.1007/978-3-030-78759-2","Dmitry BalandinProf. Konstantin BarkalovVictor GergelIosif Meyerov","2021","http://link.springer.com/book/10.1007/978-3-030-78759-2","Book"
"Data Analytics and Management in Data Intensive Domains","Communications in Computer and Information Science","","","","10.1007/978-3-030-81200-3","Alexander SychevSergey MakhortovProf. Bernhard Thalheim","2021","http://link.springer.com/book/10.1007/978-3-030-81200-3","Book"
"Develop Target Architecture","Systematic Cloud Migration","","","","10.1007/978-1-4842-7252-7_3","Taras Gleb","2021","http://link.springer.com/chapter/10.1007/978-1-4842-7252-7_3","Chapter"
"Service-Oriented Computing  – ICSOC 2020 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-030-76352-7","Hakim HacidFatma OutayHye-young PaikAmira AlloumMarinella PetrocchiMohamed Reda BouadjenekDr. Amin BeheshtiXumin LiuAbderrahmane Maaradji","2021","http://link.springer.com/book/10.1007/978-3-030-76352-7","Book"
"Migrating parallel applications to the cloud: assessing cloud readiness based on parallel design decisions","SICS Software-Intensive Cyber-Physical Systems","","34","2 - 3","10.1007/s00450-019-00396-8","Stefan KehrerWolfgang Blochinger","2019","http://link.springer.com/article/10.1007/s00450-019-00396-8","Article"
"Public Cloud Kubernetes Storage Performance Analysis","Computational Collective Intelligence","","","","10.1007/978-3-030-28374-2_56","Lubos MerclJakub Pavlik","2019","http://link.springer.com/chapter/10.1007/978-3-030-28374-2_56","Chapter"
"The CISO’s Next Frontier","","","","","10.1007/978-3-030-75354-2","Raj Badhwar","2021","http://link.springer.com/book/10.1007/978-3-030-75354-2","Book"
"Observability","Monitoring Cloud-Native Applications","","","","10.1007/978-1-4842-6888-9_2","Mainak ChakrabortyAjit Pratap Kundan","2021","http://link.springer.com/chapter/10.1007/978-1-4842-6888-9_2","Chapter"
"Writing Secure Apps","DevSecOps for .NET Core","","","","10.1007/978-1-4842-5850-7_3","Afzaal Ahmad Zeeshan","2020","http://link.springer.com/chapter/10.1007/978-1-4842-5850-7_3","Chapter"
"Improved Topology Extraction Using Discriminative Parameter Mining of Logs","Advances in Knowledge Discovery and Data Mining","","","","10.1007/978-3-030-75762-5_27","Atri MandalSaranya GuptaShivali AgarwalPrateeti Mohapatra","2021","http://link.springer.com/chapter/10.1007/978-3-030-75762-5_27","Chapter"
"Introduction","Cloud Computing Patterns","","","","10.1007/978-3-7091-1568-8_1","Christoph FehlingFrank LeymannRalph RetterWalter SchupeckPeter Arbitter","2014","http://link.springer.com/chapter/10.1007/978-3-7091-1568-8_1","Chapter"
"Architecture of a Modern Monitoring System","Monitoring Cloud-Native Applications","","","","10.1007/978-1-4842-6888-9_3","Mainak ChakrabortyAjit Pratap Kundan","2021","http://link.springer.com/chapter/10.1007/978-1-4842-6888-9_3","Chapter"
"ElasTest: An Elastic Platform for E2E Testing Complex Distributed Large Software Systems","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-030-63161-1_20","Juan Francisco Ribera LaszkowskiAndy EdmondsPiyush HarshFrancisco GortazarThomas Michael Bohnert","2020","http://link.springer.com/chapter/10.1007/978-3-030-63161-1_20","Chapter"
"How to Deliver Faster with CI/CD Integrated Testing Services?","Systems, Software and Services Process Improvement","","","","10.1007/978-3-319-97925-0_33","Alexander PothMark WernerXinyan Lei","2018","http://link.springer.com/chapter/10.1007/978-3-319-97925-0_33","Chapter"
