Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Big Data in Bioeconomy","","","","","10.1007/978-3-030-71069-9","Prof. Caj SödergårdTomas MildorfEphrem HabyarimanaDr. Arne J. BerreDr. Jose A. FernandesDr. Christian Zinke-Wehlmann","2021","http://link.springer.com/book/10.1007/978-3-030-71069-9","Book"
"Industry practices and challenges for the evolvability assurance of microservices","Empirical Software Engineering","","26","5","10.1007/s10664-021-09999-9","Justus BognerJonas FritzschStefan WagnerAlfred Zimmermann","2021","http://link.springer.com/article/10.1007/s10664-021-09999-9","Article"
"Business process modeling language selection for research modelers","Software and Systems Modeling","","","","10.1007/s10270-023-01110-8","Siamak FarshidiIzaak Beer KwantesSlinger Jansen","2023","http://link.springer.com/article/10.1007/s10270-023-01110-8","Article"
"Trends in continuous evaluation of software architectures","Computing","","","","10.1007/s00607-023-01161-1","Rodrigo C. SoaresRafael CapillaVinicius dos SantosElisa Yumi Nakagawa","2023","http://link.springer.com/article/10.1007/s00607-023-01161-1","Article"
"Towards an Interdisciplinary Development of IoT-Enhanced Business Processes","Business & Information Systems Engineering","","65","1","10.1007/s12599-022-00770-y","Pedro ValderasVictoria TorresEstefanía Serral","2023","http://link.springer.com/article/10.1007/s12599-022-00770-y","Article"
"A comprehensive and systematic review of the banking systems based on pay-as-you-go payment fashion and cloud computing in the pandemic era","Information Systems and e-Business Management","","","","10.1007/s10257-022-00617-9","Shajunyi ZhaoJianchun MiaoJingfeng ZhaoNader Naghshbandi","2023","http://link.springer.com/article/10.1007/s10257-022-00617-9","Article"
"Understanding the challenges and novel architectural models of multi-cloud native applications – a systematic literature review","Journal of Cloud Computing","","12","1","10.1186/s13677-022-00367-6","Juncal AlonsoLeire Orue-EchevarriaValentina CasolaAna Isabel TorreMaider HuarteEneko OsabaJesus L. Lobo","2023","http://link.springer.com/article/10.1186/s13677-022-00367-6","Article"
"Enterprise Design, Operations, and Computing. EDOC 2022 Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-26886-1","Tiago Prince SalesHenderik A. ProperGiancarlo GuizzardiMarco MontaliFabrizio Maria MaggiClaudenir M. Fonseca","2023","http://link.springer.com/book/10.1007/978-3-031-26886-1","Book"
"Service-Oriented Computing – ICSOC 2022 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-26507-5","Javier TroyaRaffaela MirandolaElena NavarroAndrea DelgadoSergio SeguraGuadalupe OrtizCesare PautassoChristian ZirpinsPablo FernándezAntonio Ruiz-Cortés","2023","http://link.springer.com/book/10.1007/978-3-031-26507-5","Book"
"Handbook of Re-Engineering Software Intensive Systems into Software Product Lines","","","","","10.1007/978-3-031-11686-5","Roberto E. Lopez-HerrejonJabier MartinezWesley Klewerton Guez AssunçãoTewfik ZiadiMathieu AcherSilvia Vergilio","2023","http://link.springer.com/book/10.1007/978-3-031-11686-5","Book"
