Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Big Data in Bioeconomy,,,,,10.1007/978-3-030-71069-9,Prof. Caj SödergårdTomas MildorfEphrem HabyarimanaDr. Arne J. BerreDr. Jose A. FernandesDr. Christian Zinke-Wehlmann,2021,http://link.springer.com/book/10.1007/978-3-030-71069-9,Book
Industry practices and challenges for the evolvability assurance of microservices,Empirical Software Engineering,,26,5,10.1007/s10664-021-09999-9,Justus BognerJonas FritzschStefan WagnerAlfred Zimmermann,2021,http://link.springer.com/article/10.1007/s10664-021-09999-9,Article
Towards Software Compliance Specification and Enforcement Using TOSCA,"Economics of Grids, Clouds, Systems, and Services",,,,10.1007/978-3-030-92916-9_14,Mohammed MubarkootJörn Altmann,2021,http://link.springer.com/chapter/10.1007/978-3-030-92916-9_14,Chapter
The CMS monitoring infrastructure and applications,Computing and Software for Big Science,,5,1,10.1007/s41781-020-00051-x,Christian Ariza-PorrasValentin KuznetsovFederica Legger,2021,http://link.springer.com/article/10.1007/s41781-020-00051-x,Article
The Relation of Test-Related Factors to Software Quality: A Case Study on Apache Systems,Empirical Software Engineering,,26,2,10.1007/s10664-020-09891-y,Fabiano PecorelliFabio PalombaAndrea De Lucia,2021,http://link.springer.com/article/10.1007/s10664-020-09891-y,Article
Ultra-Reliable and Low-Latency Computing in the Edge with Kubernetes,Journal of Grid Computing,,19,3,10.1007/s10723-021-09573-z,László Toka,2021,http://link.springer.com/article/10.1007/s10723-021-09573-z,Article
Designing and implementing a Big Data benchmark in a financial context: application to a cash management use case,Computing,,103,9,10.1007/s00607-021-00933-x,Lilia SfaxiMohamed Mehdi Ben Aissa,2021,http://link.springer.com/article/10.1007/s00607-021-00933-x,Article
Enjoy your observability: an industrial survey of microservice tracing and analysis,Empirical Software Engineering,,27,1,10.1007/s10664-021-10063-9,Bowen LiXin PengQilin XiangHanzhang WangTao XieJun SunXuanzhe Liu,2021,http://link.springer.com/article/10.1007/s10664-021-10063-9,Article
A novel distributed Social Internet of Things service recommendation scheme based on LSH forest,Personal and Ubiquitous Computing,,25,6,10.1007/s00779-019-01283-4,Biwei YanJiguo YuMeihong YangHonglu JiangZhiguo WanLina Ni,2021,http://link.springer.com/article/10.1007/s00779-019-01283-4,Article
Mining and relating design contexts and design patterns from Stack Overflow,Empirical Software Engineering,,27,1,10.1007/s10664-021-10034-0,Laksri WijerathnaAldeida AletiTingting BiAntony Tang,2021,http://link.springer.com/article/10.1007/s10664-021-10034-0,Article
