Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Service-Oriented Computing  – ICSOC 2020 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-030-76352-7","Hakim HacidFatma OutayHye-young PaikAmira AlloumMarinella PetrocchiMohamed Reda BouadjenekDr. Amin BeheshtiXumin LiuAbderrahmane Maaradji","2021","http://link.springer.com/book/10.1007/978-3-030-76352-7","Book"
"Towards a self-adaptive service-oriented methodology based on extended SOMA","Frontiers of Information Technology & Electronic Engineering","","16","1","10.1631/FITEE.1400040","Alireza Parvizi-MosaedShahrouz MoavenJafar HabibiGhazaleh BeigiMahdieh Naser-Shariat","2015","http://link.springer.com/article/10.1631/FITEE.1400040","Article"
"Service-Oriented Computing","Communications in Computer and Information Science","","","","10.1007/978-3-030-87568-8","Johanna Barzen","2021","http://link.springer.com/book/10.1007/978-3-030-87568-8","Book"
"Software Architecture","Lecture Notes in Computer Science","","","","10.1007/978-3-030-86044-8","Univ.-Prof. Dr. Stefan BifflElena NavarroWelf LöweProf. Marjan SirjaniProf. Raffaela MirandolaProf. Dr. Danny Weyns","2021","http://link.springer.com/book/10.1007/978-3-030-86044-8","Book"
"Encyclopedia of Social Network Analysis and Mining","","","","","10.1007/978-1-4939-7131-2","Reda AlhajjJon Rokne","2018","http://link.springer.com/referencework/10.1007/978-1-4939-7131-2","ReferenceWork"
"Internet Computing","","","","","10.1007/978-3-030-34957-8","Prof. Dr. Ali Sunyaev","2020","http://link.springer.com/book/10.1007/978-3-030-34957-8","Book"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-79382-1","Marcello La RosaShazia SadiqProf. Ernest Teniente","2021","http://link.springer.com/book/10.1007/978-3-030-79382-1","Book"
"Towards a Metrics-Based Software Quality Rating for a Microservice Architecture","Innovations for Community Services","","","","10.1007/978-3-030-22482-0_15","Sebastian ApelFlorian HertrampfSteffen Späthe","2019","http://link.springer.com/chapter/10.1007/978-3-030-22482-0_15","Chapter"
"Computational Science and Its Applications – ICCSA 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-86970-0","Prof. Dr. Osvaldo GervasiBeniamino MurganteDr. Sanjay MisraDr. Chiara GarauIvan BlečićDavid TaniarBernady O. ApduhanAna Maria A. C. RochaEufemia TarantinoCarmelo Maria Torre","2021","http://link.springer.com/book/10.1007/978-3-030-86970-0","Book"
"A Quantitative Approach for the Assessment of Microservice Architecture Deployment Alternatives by Automated Performance Testing","Software Architecture","","","","10.1007/978-3-030-00761-4_11","Alberto AvritzerVincenzo FermeAndrea JanesBarbara RussoHenning SchulzAndré van Hoorn","2018","http://link.springer.com/chapter/10.1007/978-3-030-00761-4_11","Chapter"
