Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Evaluation of SOA-Based Web Services and Microservices Architecture Using Complexity Metrics","SN Computer Science","","2","5","10.1007/s42979-021-00767-6","Vinay RajRavichandra Sadam","2021","http://link.springer.com/article/10.1007/s42979-021-00767-6","Article"
"Towards a self-adaptive service-oriented methodology based on extended SOMA","Frontiers of Information Technology & Electronic Engineering","","16","1","10.1631/FITEE.1400040","Alireza Parvizi-MosaedShahrouz MoavenJafar HabibiGhazaleh BeigiMahdieh Naser-Shariat","2015","http://link.springer.com/article/10.1631/FITEE.1400040","Article"
"Industry practices and challenges for the evolvability assurance of microservices","Empirical Software Engineering","","26","5","10.1007/s10664-021-09999-9","Justus BognerJonas FritzschStefan WagnerAlfred Zimmermann","2021","http://link.springer.com/article/10.1007/s10664-021-09999-9","Article"
"Service-oriented replication strategies for improving quality-of-service in cloud computing: a survey","Cluster Computing","","24","1","10.1007/s10586-020-03108-z","Sarra SlimaniTarek HamrouniFaouzi Ben Charrada","2021","http://link.springer.com/article/10.1007/s10586-020-03108-z","Article"
"CARS 2020—Computer Assisted Radiology and Surgery Proceedings of the 34th International Congress and Exhibition, Munich, Germany, June 23–27, 2020","International Journal of Computer Assisted Radiology and Surgery","","15","1","10.1007/s11548-020-02171-6","","2020","http://link.springer.com/article/10.1007/s11548-020-02171-6","Article"
"Building orchestrated microservice systems using declarative business processes","Service Oriented Computing and Applications","","14","4","10.1007/s11761-020-00300-2","Davi MonteiroPaulo Henrique M. MaiaLincoln S. RochaNabor C. Mendonça","2020","http://link.springer.com/article/10.1007/s11761-020-00300-2","Article"
"A hierarchical model for quantifying software security based on static analysis alerts and software metrics","Software Quality Journal","","29","2","10.1007/s11219-021-09555-0","Miltiadis SiavvasDionysios KehagiasDimitrios TzovarasErol Gelenbe","2021","http://link.springer.com/article/10.1007/s11219-021-09555-0","Article"
"CARS 2018—Computer Assisted Radiology and Surgery Proceedings of the 32nd International Congress and Exhibition Berlin, Germany, June 20–23, 2018","International Journal of Computer Assisted Radiology and Surgery","","13","1","10.1007/s11548-018-1766-y","","2018","http://link.springer.com/article/10.1007/s11548-018-1766-y","Article"
"CARS 2015—Computer Assisted Radiology and Surgery Proceedings of the 29th International Congress and Exhibition Barcelona, Spain, June 24–27, 2015","International Journal of Computer Assisted Radiology and Surgery","","10","1","10.1007/s11548-015-1213-2","","2015","http://link.springer.com/article/10.1007/s11548-015-1213-2","Article"
"Multi-agent architecture for fault recovery in self-healing systems","Journal of Ambient Intelligence and Humanized Computing","","12","2","10.1007/s12652-020-02443-8","Pushpendra Kumar RajputGeeta Sikka","2021","http://link.springer.com/article/10.1007/s12652-020-02443-8","Article"
"Reengineering component-based software systems with Archimetrix","Software & Systems Modeling","","13","4","10.1007/s10270-013-0341-9","Markus von DettenMarie Christin PlateniusSteffen Becker","2014","http://link.springer.com/article/10.1007/s10270-013-0341-9","Article"
"A review and future directions of SOA-based software architecture modeling approaches for System of Systems","Service Oriented Computing and Applications","","12","3 - 4","10.1007/s11761-018-0245-1","Ahmad MohsinNaeem Khalid Janjua","2018","http://link.springer.com/article/10.1007/s11761-018-0245-1","Article"
"A novel computational knowledge-base framework for visualization and quantification of geospatial metadata in spatial data infrastructures","GeoInformatica","","22","2","10.1007/s10707-018-0317-6","Gangothri RajaramHarish Chandra KarnatakSwaminathan VenkatramanK. R. ManjulaKannan Krithivasan","2018","http://link.springer.com/article/10.1007/s10707-018-0317-6","Article"
"API governance support through the structural analysis of REST APIs","Computer Science - Research and Development","","33","3 - 4","10.1007/s00450-017-0384-1","Florian HauptFrank LeymannKarolina Vukojevic-Haupt","2018","http://link.springer.com/article/10.1007/s00450-017-0384-1","Article"
"Cost-Effective Feature Placement of Customizable Multi-Tenant Applications in the Cloud","Journal of Network and Systems Management","","22","4","10.1007/s10922-013-9265-5","Hendrik MoensEddy TruyenStefan WalravenWouter JoosenBart DhoedtFilip De Turck","2014","http://link.springer.com/article/10.1007/s10922-013-9265-5","Article"
"Esteemed software patterns for banking system","Cluster Computing","","22","5","10.1007/s10586-017-1304-7","Sudha RajeshA. Chandrasekar","2019","http://link.springer.com/article/10.1007/s10586-017-1304-7","Article"
"An adaptive and scalable framework for automated service discovery","Service Oriented Computing and Applications","","13","1","10.1007/s11761-019-00255-z","Monika Sikri","2019","http://link.springer.com/article/10.1007/s11761-019-00255-z","Article"
"Leveraging business-IT alignment through enterprise architecture—an empirical study to estimate the extents","Information Technology and Management","","18","1","10.1007/s10799-016-0256-6","Morteza AlaeddiniHamed AsgariArash GharibiMona Rashidi Rad","2017","http://link.springer.com/article/10.1007/s10799-016-0256-6","Article"
"Mining and relating design contexts and design patterns from Stack Overflow","Empirical Software Engineering","","27","1","10.1007/s10664-021-10034-0","Laksri WijerathnaAldeida AletiTingting BiAntony Tang","2021","http://link.springer.com/article/10.1007/s10664-021-10034-0","Article"
"A structural-semantic web service selection approach to improve retrievability of web services","Information Systems Frontiers","","20","6","10.1007/s10796-016-9731-1","Martin GarrigaAlan De RenzisIgnacio LizarraldeAndres FloresCristian MateosAlejandra CechichAlejandro Zunino","2018","http://link.springer.com/article/10.1007/s10796-016-9731-1","Article"
"A guideline for software architecture selection based on ISO 25010 quality related characteristics","International Journal of System Assurance Engineering and Management","","8","2","10.1007/s13198-016-0546-8","Mariem HaouesAsma SellamiHanêne Ben-AbdallahLaila Cheikhi","2017","http://link.springer.com/article/10.1007/s13198-016-0546-8","Article"
"Assessing and improving quality of QVTo model transformations","Software Quality Journal","","24","3","10.1007/s11219-015-9280-8","Christine M. GerpheideRamon R. H. SchiffelersAlexander Serebrenik","2016","http://link.springer.com/article/10.1007/s11219-015-9280-8","Article"
"Task-driven manufacturing cloud service proactive discovery and optimal configuration method","The International Journal of Advanced Manufacturing Technology","","84","1 - 4","10.1007/s00170-015-7731-9","Yingfeng ZhangDong XiRui LiShudong Sun","2016","http://link.springer.com/article/10.1007/s00170-015-7731-9","Article"
