Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A configurable method for benchmarking scalability of cloud-native applications","Empirical Software Engineering","","27","6","10.1007/s10664-022-10162-1","Sören HenningWilhelm Hasselbring","2022","http://link.springer.com/article/10.1007/s10664-022-10162-1","Article"
"Enhancement of Cloud-native applications with Autonomic Features","Journal of Grid Computing","","21","3","10.1007/s10723-023-09675-w","Joanna KosińskaKrzysztof Zieliński","2023","http://link.springer.com/article/10.1007/s10723-023-09675-w","Article"
"Understanding the challenges and novel architectural models of multi-cloud native applications – a systematic literature review","Journal of Cloud Computing","","12","1","10.1186/s13677-022-00367-6","Juncal AlonsoLeire Orue-EchevarriaValentina CasolaAna Isabel TorreMaider HuarteEneko OsabaJesus L. Lobo","2023","http://link.springer.com/article/10.1186/s13677-022-00367-6","Article"
"A cloud-native application for digital restoration of Cultural Heritage using nuclear imaging: THESPIAN-XRF","Rendiconti Lincei. Scienze Fisiche e Naturali","","34","3","10.1007/s12210-023-01174-0","Alessandro BombiniFernando García-Avello BofíasChiara RubertoFrancesco Taccetti","2023","http://link.springer.com/article/10.1007/s12210-023-01174-0","Article"
"Minimizing Resource Allocation for Cloud-Native Microservices","Journal of Network and Systems Management","","31","2","10.1007/s10922-023-09726-3","Roland ErdeiLaszlo Toka","2023","http://link.springer.com/article/10.1007/s10922-023-09726-3","Article"
"Intent-Driven Orchestration: Enforcing Service Level Objectives for Cloud Native Deployments","SN Computer Science","","4","3","10.1007/s42979-023-01698-0","Thijs MetschMagdalena ViktorssonAdrian HobanMonica VitaliRavi IyerErik Elmroth","2023","http://link.springer.com/article/10.1007/s42979-023-01698-0","Article"
"ZTMP: Zero Touch Management Provisioning Algorithm for the On-boarding of Cloud-native Virtual Network Functions","Mobile Networks and Applications","","","","10.1007/s11036-023-02260-1","Arunkumar ArulappanGunasekaran RajaAli Kashif BashirAniket MahantiMarwan Omar","2023","http://link.springer.com/article/10.1007/s11036-023-02260-1","Article"
"Edge computing in the loop simulation framework for automotive use cases evaluation","Wireless Networks","","29","8","10.1007/s11276-023-03432-3","Levente Márk MallerPéter SuskovicsLászló Bokor","2023","http://link.springer.com/article/10.1007/s11276-023-03432-3","Article"
"An Auto-Scaling Approach for Microservices in Cloud Computing Environments","Journal of Grid Computing","","21","4","10.1007/s10723-023-09713-7","Matineh ZargarAzadMehrdad Ashtiani","2023","http://link.springer.com/article/10.1007/s10723-023-09713-7","Article"
"Kubernetes as a Standard Container Orchestrator - A Bibliometric Analysis","Journal of Grid Computing","","20","4","10.1007/s10723-022-09629-8","Carmen Carrión","2022","http://link.springer.com/article/10.1007/s10723-022-09629-8","Article"
"Cost-Availability Aware Scaling: Towards Optimal Scaling of Cloud Services","Journal of Grid Computing","","21","4","10.1007/s10723-023-09718-2","Andre BentoFilipe AraujoRaul Barbosa","2023","http://link.springer.com/article/10.1007/s10723-023-09718-2","Article"
"Orchestration in the Cloud-to-Things compute continuum: taxonomy, survey and future directions","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00516-5","Amjad UllahTamas KissJózsef KovácsFrancesco TusaJames DeslauriersHuseyin DagdevirenResmi ArjunHamed Hamzeh","2023","http://link.springer.com/article/10.1186/s13677-023-00516-5","Article"
"Anomaly Detection in Cloud Computing using Knowledge Graph Embedding and Machine Learning Mechanisms","Journal of Grid Computing","","22","1","10.1007/s10723-023-09727-1","Katerina MitropoulouPanagiotis KokkinosPolyzois SoumplisEmmanouel Varvarigos","2023","http://link.springer.com/article/10.1007/s10723-023-09727-1","Article"
"A Novel Weight-Assignment Load Balancing Algorithm for Cloud Applications","SN Computer Science","","4","3","10.1007/s42979-023-01702-7","Adekunbi A. AdewojoJulian M. Bass","2023","http://link.springer.com/article/10.1007/s42979-023-01702-7","Article"
"An autonomous performance testing framework using self-adaptive fuzzy reinforcement learning","Software Quality Journal","","30","1","10.1007/s11219-020-09532-z","Mahshid Helali MoghadamMehrdad SaadatmandMarkus BorgMarkus BohlinBjörn Lisper","2022","http://link.springer.com/article/10.1007/s11219-020-09532-z","Article"
"Kubernetes in IT administration and serverless computing: An empirical study and research challenges","The Journal of Supercomputing","","78","2","10.1007/s11227-021-03982-3","Subrota Kumar MondalRui PanH M Dipu KabirTan TianHong-Ning Dai","2022","http://link.springer.com/article/10.1007/s11227-021-03982-3","Article"
"The AI4Citizen pilot: Pipelining AI-based technologies to support school-work alternation programmes","Applied Intelligence","","53","20","10.1007/s10489-023-04758-3","Athina GeorgaraRaman KazhamiakinOrnella MichAlessio Palmero AprosioJean-Christoph PazzagliaJuan Antonio Rodríguez AguilarCarles Sierra","2023","http://link.springer.com/article/10.1007/s10489-023-04758-3","Article"
"Conformance checking for autonomous multi-cloud SLA management and adaptation","The Journal of Supercomputing","","78","11","10.1007/s11227-022-04363-0","Jeremy MechoucheRoua TouihriMohamed SellamiWalid Gaaloul","2022","http://link.springer.com/article/10.1007/s11227-022-04363-0","Article"
"Snowmass 2021 Computational Frontier CompF4 Topical Group Report Storage and Processing Resource Access","Computing and Software for Big Science","","7","1","10.1007/s41781-023-00097-7","W. BhimjiD. CarderE. DartJ. DuarteI. FiskR. GardnerC. GuokB. JayatilakaT. LehmanM. LinC. MaltzahnS. McKeeM. S. NeubauerO. RindO. ShaduraN. V. Tran","2023","http://link.springer.com/article/10.1007/s41781-023-00097-7","Article"
"S-RAP: relevance-aware QoS prediction in web-services and user contexts","Knowledge and Information Systems","","64","7","10.1007/s10115-022-01699-0","Hafiz Syed Muhammad MuslimSaddaf RubabMalik M. KhanNaima IltafAli Kashif BashirKashif Javed","2022","http://link.springer.com/article/10.1007/s10115-022-01699-0","Article"
"Offline Mining of Microservice-Based Architectures (Extended Version)","SN Computer Science","","4","3","10.1007/s42979-023-01721-4","Jacopo SoldaniJavad KhaliliAntonio Brogi","2023","http://link.springer.com/article/10.1007/s42979-023-01721-4","Article"
